Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 10	Math Methods I	Jelliffe Jackson	2023 Fall Quarter	2238	N	47	38	24	23	27	19	19	21	10		5		4	2	4				3		246
AM 11A	Math Methd for Econ	Jonathan Rice Katznelson	2023 Fall Quarter	2238	Y	10	8	3	2	8	4	10	16	3		3		5	1	4				3		80
AM 11B	Math Methds Econ II	Jonathan Rice Katznelson	2023 Fall Quarter	2238	Y	11	8	3	14	12	7	14	26			13		26	9	17				4		164
AM 30	SOE Calculus III	Dongwook Lee	2023 Fall Quarter	2238	N	6	12	8	8	11	7	9	3			6		1		3				1		75
AM 100	Math Methods III	Hongyun Wang	2023 Fall Quarter	2238	N	14	3	2	3	3	3	2	2	1				3								36
AM 114	Intro Dynam Systems	Daniele Venturi	2023 Fall Quarter	2238	Y	30	3	2	4	4	6		2					4		2				1		58
AM 129	Foundtns Sci Comput	Ian May	2023 Fall Quarter	2238	N	16	7	4		4	3	2	4			1		7		1	1					50
AM 214	Applied Dynamic Sys	Daniele Venturi	2023 Fall Quarter	2238	Y	10	2	1													1					14
AM 280B	Applied Math Model	Marcella Gomez	2023 Fall Quarter	2238	N	6															4					10
ANTH 1	Intro Biolog Anth	Emily A Schach	2023 Fall Quarter	2238	N	9	161		31	36		2	3			1		2	3	1				1		250
ANTH 100	History Biol Anthro	Joseph Reti	2023 Fall Quarter	2238	N		7	2	1	5	1		3													19
ANTH 104	Human Var and Adapt	kalina kassadjikova	2023 Fall Quarter	2238	N	1	23	1	5	7	1		3						2							43
ANTH 110A	Contemporary Issues	Alejandra Letelier Kramer	2023 Fall Quarter	2238	N	4	31	6	2	3	1	2	1					4	1							55
ANTH 110F	Evolution Human Diet	Viktoria Oelze	2023 Fall Quarter	2238	N	56	13	5	4	1	1								1							81
ANTH 126	Contraband	Nidhi Mahajan	2023 Fall Quarter	2238	Y		13	6	4	12	3	1	3						5	1				2		50
