Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 10	Math Methods I	Abram Kay Stout Rodgers	2022 Spring Quarter	2222	N	5	67	60	18	31	22	7	14			5		2	2	2				4		239
AM 11A	Math Methd for Econ	Jonathan Rice Katznelson	2022 Spring Quarter	2222	Y	2	15	8	3	3	4	1	3			1		1	1	2						44
AM 11B	Math Methds Econ II	Jonathan Rice Katznelson	2022 Spring Quarter	2222	Y	4	6	17	20	22	10	9	13	5		4			5	5				3		123
AM 20	Math Methods II	Qi Gong	2022 Spring Quarter	2222	N	17	27	23	29	27	10	11	8			2		4	1	2				2		163
AM 30	SOE Calculus III	Dongwook Lee	2022 Spring Quarter	2222	N	11	9	9	13	3	3	3	2			2		2	2	1						60
AM 115	Stochastic Modeling	Marcella Gomez	2022 Spring Quarter	2222	Y	2	7	2	1	3																15
AM 148	GPU Programming	Steven Isaac Reeves	2022 Spring Quarter	2222	N		5			1			1			1		6	1	2		1		2		20
AM 213B	Num Mthds Diff Eq	Daniele Venturi	2022 Spring Quarter	2222	N	12	2	1										2				1				18
AM 250	Intro High Perf Comp	Nicholas H Brummell	2022 Spring Quarter	2222	N	3	10	3	1	1	2		1					1			2	1				25
ANTH 2	Intr Culturl Anthro	Mark D Anderson; Melissa L Caldwell	2022 Spring Quarter	2222	N		93	48	51	23	3	3	1			2		4	13	2				2		245
ANTH 100	History Biol Anthro	kalina kassadjikova	2022 Spring Quarter	2222	N		3	1	1	4			1			2		2	2							16
ANTH 100	History Biol Anthro	Emily A Schach	2022 Spring Quarter	2222	N	5	12	3	3	1			1					1	2	2				1		31
ANTH 101	Human Evolution	Emily A Schach	2022 Spring Quarter	2222	N	1	24		2	15		4	1					1	3					1		52
ANTH 103	Forensic Anthro	Emily A Schach	2022 Spring Quarter	2222	N	3	14	3		1	1															22
