AM 10	Math Methods I	Jonathan Rice Katznelson	2020 Summer Quarter	2204	N		11	4	7	10	1	1	12	2				2	4	1				1		56
AM 20	Math Methods II	Long Kim Lu	2020 Summer Quarter	2204	N	5	23	8	8	12	7	1		2	1	1		1						1		70
ANTH 1	Intro Biolog Anth	kalina kassadjikova	2020 Summer Quarter	2204	N	1	11	3	8	5	5	4	5				1	4	9					1		57
ANTH 2	Intr Culturl Anthro	Jessica Rose Madison Pískatá	2020 Summer Quarter	2204	N	40	42		3	3	1							4	5					1		99
ANTH 3	Intro Archaeology	James C Monroe	2020 Summer Quarter	2204	N	1	13	16	22	1	5	6	3				1	2	6					2		78
ANTH 100	History Biol Anthro	kalina kassadjikova	2020 Summer Quarter	2204	N	1	9	3	6	14	3	2	5					2						2		47
ANTH 102A	Human Skeletal Biol	Cristina Verdugo	2020 Summer Quarter	2204	N		2		1	1	6		3						2							15
ANTH 103I	Forensic Anth	Eden Lee Washburn	2020 Summer Quarter	2204	N		3	4	2			1						1	4	1				1		17
ANTH 110H	Amazon Culture/Environ	Robert Brooks Davenport	2020 Summer Quarter	2204	N	5	11	7	2	2		1						2	2					1		33
ANTH 110I	SustainbilitySocJust	David Michael Shaw	2020 Summer Quarter	2204	N		3	9	3	5	2	5	2			2		8	4	1				2		46
ANTH 110J	Emerging Humanity	David Allen Ingleman	2020 Summer Quarter	2204	N	12	7	8	5	2	4							3	3					1		45
ANTH 110L	The Human Ocean	Joseph R Klein	2020 Summer Quarter	2204	N	13	6	4	3	1		2				1			2							32
ANTH 130I	Cultures of India	Annapurna Devi Pandey	2020 Summer Quarter	2204	N	1	2	3	2	2	1	4	3					3	2							23
ART 20G	Intro Print/Draw	Bridget Mary Henry	2020 Summer Quarter	2204	N	1	7	6	1	3	1			1					1							21
ART 20I	Intro Photography	Karolina Karlic	2020 Summer Quarter	2204	N	11	2	4											1							18
ART 20J	Intro Draw/Paint	Susana Terrell	2020 Summer Quarter	2204	N	2	9	2		3									4					2		22
ART 20L	Intro to Drawing	Grant Whipple	2020 Summer Quarter	2204	N		23	24	4	5	1			2		1		1	15	2				3		81
ART 80E	Enviro Art Expanded	Elizabeth Stephens	2020 Summer Quarter	2204	N	3	7	3	2	2	1	2	2					2	11	1				7		43
ART 80T	Digital Tools Art	Kristen Ling Gillette	2020 Summer Quarter	2204	N	18	36	12	3	3	3	1	1					2	11	1				1		92
ART 106O	2D Animation	Kristen Ling Gillette	2020 Summer Quarter	2204	N	28	37	13	2	2		2	7					2	14	3				1		111
ART 113	Illustrating Stories	Frank R Galuszka	2020 Summer Quarter	2204	N	10	9	2																		21
ART 132	Figure Painting	Noah Buchanan	2020 Summer Quarter	2204	N	2	14		1		1							1	1	1						21
ART 159	Spec Topics Photo	John Jesse Chapman	2020 Summer Quarter	2204	N	8	7																			15
ARTG 80I	Foundations of Play	Tad Ander Leckman	2020 Summer Quarter	2204	N		16	15	7	1																39
ARTG 91	Intro Game Art Prod	Kristen Ling Gillette	2020 Summer Quarter	2204	N	27	27	10	3	5	3	1	3	1				3	5	4				1		93
ARTG 120	Game Design Exp	Elizabeth A Swensen	2020 Summer Quarter	2204	N		16	9	2	1																28
ARTG 131	3D Game Art Prod	Marcelo Viana Neto	2020 Summer Quarter	2204	N	4	18	11	9	3	2	1	1					1	1					4		55
ARTG 132	3D Character Rig	Eduard Joseph Gregor	2020 Summer Quarter	2204	N	15	10	1	3	1								1		1				1		33
ARTG 140	Writ Interactive Narra	Nic Junius	2020 Summer Quarter	2204	N	7	9																			16
BIOE 20B	Developmt & Physiol	Robin Christine Dunkin	2020 Summer Quarter	2204	N	30	34	15	5	5	3	3	1			1								1		98
BIOE 20C	Ecology & Evolution	Baldo Branimir Marinovic	2020 Summer Quarter	2204	N	3	8	9	7	11	5	9	7						4					2		65
BIOE 82	Intro Field Res/Con	Sean Bryant Reilly	2020 Summer Quarter	2204	N	6	9					1	1						2							19
BIOE 107	Ecology	Pauline Rachel Blaimont	2020 Summer Quarter	2204	N	9	14	13	14	8	3	2	5			2		1		1				7		79
BIOE 108	Marine Ecology	Ellen Margaret Willis-Norton	2020 Summer Quarter	2204	N	9	7	4	7	3	8	2	2	1			1							2		46
BIOE 109	Evolution	Travis Michael Apgar	2020 Summer Quarter	2204	N	1	49	24	21	15	4	4	1	2				3	1					1		126
BIOE 125	Ecosystems of Calif	Erika S Zavaleta	2020 Summer Quarter	2204	Y		6	3	7	6	6	3						3	2							36
BIOE 134	Comparative Anatomy	Rita Mehta	2020 Summer Quarter	2204	N	10	5	6	1	1	4	2	1						1					2		33
BIOE 134L	Comparative Anatomy Lab	Rita Mehta	2020 Summer Quarter	2204	N	5	14	3	1	2	3	2	1						1					2		34
BIOE 155	Freshwater Ecology	Megan Christine Sabal	2020 Summer Quarter	2204	N	7	4	10	4	8	4	5	2			1		1	1					2		49
BIOE 158L	Marine Ecology Lab	Joshua Gray Smith I	2020 Summer Quarter	2204	N		8	7	7	3			1											1		27
BIOL 20A	Cell & Molecular Bi	John W Tamkun	2020 Summer Quarter	2204	N	2	8	1	3	8		16	16	7	2	6		7	1	3				5		85
BIOL 100	Biochemistry	Jeremy C Lee	2020 Summer Quarter	2204	N	2	10	3	8	10	6	12	23			2		14	3	1				1		95
BIOL 101L	Molecular Bio Lab	James A Shanks	2020 Summer Quarter	2204	N	1	13	8	4	7	4	2						2						2		43
BIOL 104L	Corona Bioinform Lab	Giulia Jale Gurun Gurun	2020 Summer Quarter	2204	N		5	2	1	5	5		5			2		1	2	1				1		30
BIOL 105	Genetics	Rohinton T Kamakaka	2020 Summer Quarter	2204	N	3	4	9	19	19	19	15	20					3	2	1				3		117
BIOL 125	Intro to Neurosci	David A Feldheim	2020 Summer Quarter	2204	N	1	14	4	3	4		1	4			2										33
BIOL 130	Human Physiology	Giulia Jale Gurun Gurun	2020 Summer Quarter	2204	N	2	8	6	2	2	8	2	9			6		1	2	3				3		54
BIOL 189W	Human Biology DC	Jeremy Earl Kreher	2020 Summer Quarter	2204	N	4	6	1	3	3			1					4	1					1		24
BME 80G	Bioethics 21st Cent	Sandra Lyn Dreisbach	2020 Summer Quarter	2204	Y	7	10	20	9	1	2					1		5	2		2			2		61
BME 185	Tech Writing Biomol	Joy Anna Hagen	2020 Summer Quarter	2204	N	2	16		1	1	1													1		22
BME 188B	SynBio Research:B	David Lee Bernick	2020 Summer Quarter	2204	N	1	6	4	1	1																13
BME 188C	SynthBio Research-C	David Lee Bernick	2020 Summer Quarter	2204	N	1	8	3		1																13
CHEM 1A	General Chemistry	Aura Alegra Eroy-Reveles	2020 Summer Quarter	2204	N	37	17	3	4	7	1	1	2			1		5	3	3				1		85
CHEM 1B	General Chemistry	Jin Zhong Zhang	2020 Summer Quarter	2204	N	8	10	10	6	6	2	2	2					1	1					1		49
CHEM 1C	General Chemistry	William G Scott	2020 Summer Quarter	2204	N	5	44	7	3	8	1		4					2						3		77
CHEM 1M	Gen Chem Lab	Randa Elaine Pfeifer Roland	2020 Summer Quarter	2204	N		35	1											1							37
CHEM 1N	Gen Chem Lab	Randa Elaine Pfeifer Roland	2020 Summer Quarter	2204	N		57	3	2	2						1		1						1		67
CHEM 8A	Organic Chemistry	Caitlin Maria Binder	2020 Summer Quarter	2204	N	7	81	2	1	12			3						2					1		109
CHEM 8B	Organic Chemistry	Gabriella Adriana Amberchan	2020 Summer Quarter	2204	N		43	7	13	23	4	4	15			2		1	1					3		116
CHEM 8B	Organic Chemistry	Gabriella Adriana Amberchan	2020 Summer Quarter	2204	N	2	13		7	18		3	23			1		3						1		71
CHEM 8L	Organic Chem Lab	Caileen Marie Brison	2020 Summer Quarter	2204	N	1	32	31	10	17	2	3	2	1				2	1							102
CHEM 8M	Organic Chem Lab	Gabriella Adriana Amberchan	2020 Summer Quarter	2204	N		67		13	23		2	5					3	1					2		116
CHEM 163A	Quantum Mech & Spec	Yat Li	2020 Summer Quarter	2204	N	1	3	5	1	5	6	5	3			1		1	1	1						33
CHIN 1	Chinese: First Year	Jing Wu	2020 Summer Quarter	2204	N	1	17	1											1							20
CMMU 10	Intr To Cmmu Actvsm	Lani Hanna	2020 Summer Quarter	2204	N		30												2							32
CMMU 20	Media/Social Movements	Rachel A Goodman	2020 Summer Quarter	2204	N		4	17	6	3	1	1							4							36
CMMU 30	NumbersSocialJustice	Andrea Steiner	2020 Summer Quarter	2204	N	5	8	6	5	2	2	1						1	8	3						41
CMMU 105A	Field Study	Mary Beth Pudup	2020 Summer Quarter	2204	N	3	14	5	2	3	2							1		1				1		32
CMMU 105B	Field Study	Mary Beth Pudup	2020 Summer Quarter	2204	N		5	9	8	4	1	1	1					1		1				1		32
CMMU 105C	Field Study	Mary Beth Pudup	2020 Summer Quarter	2204	N	6	13	1	3	2	1	2	1					1		1				1		32
CMPM 80K	FoundationsGameDesgn	James Collin Fey	2020 Summer Quarter	2204	N	26	29	18	12	6	1	4			2	1	1		11					1		112
CMPM 120	Game Develop Exp	Nathan Altice	2020 Summer Quarter	2204	N	6	14	6	2									1								29
CMPM 121	Game Technologies	Ishaan Anil Paranjape	2020 Summer Quarter	2204	N	9	5	4	2	2		1		2				1								26
CMPM 146	Game AI	Daniel G Shapiro	2020 Summer Quarter	2204	N	2	3	20	8	5	6	4							1					1		50
CMPM 179	Game Design Practicum	Tad Ander Leckman	2020 Summer Quarter	2204	N	4	19	9	1	4	2															39
