Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 10	Math Methods I	Jonathan Rice Katznelson	2021 Summer Quarter	2214	N	11	11	3	9	4	6	2	6					8	2	1				4		67
AM 20	Math Methods II	Long Kim Lu	2021 Summer Quarter	2214	N	1	2	8	6	8	6	9	9	5	3	10	3	1						6		77
ANTH 1	Intro Biolog Anth	kalina kassadjikova	2021 Summer Quarter	2214	N	1	6	5	6	7	9	3	6	1	1	1	1	4	5							56
ANTH 2	Intr Culturl Anthro	April Lucille Reber	2021 Summer Quarter	2214	N	42	10	7		4	1	2	1	1		1	1	7	5					1		83
ANTH 3	Intro Archaeology	James C Monroe	2021 Summer Quarter	2214	N		4	3	4	6	5	3			3			10	3					1		42
ANTH 100	History Biol Anthro	kalina kassadjikova	2021 Summer Quarter	2214	N	1	2	3	1	3	3	1	2													16
ANTH 102A	Human Skeletal Biol	David Allen Ingleman	2021 Summer Quarter	2214	N	4	3	2			1								2	2				1		15
ANTH 110F	Evolution Human Diet	Viktoria Oelze	2021 Summer Quarter	2214	N	1	13	17	7	3	2					1	3	1	6							54
ANTH 110H	Amazon Culture/Environ	Robert Brooks Davenport	2021 Summer Quarter	2214	N	1	6	9	1	1														1		19
ANTH 110I	SustainbilitySocJust	David Michael Shaw	2021 Summer Quarter	2214	N		5	3		1								1								10
ANTH 110V	American Capitalism	Joseph R Klein	2021 Summer Quarter	2214	N	7	2	2		1	1			1		1			1							16
ANTH 130I	Cultures of India	Annapurna Devi Pandey	2021 Summer Quarter	2214	N		9	3	1	3	3	1		1				2	6	1				1		31
ANTH 176A	No American Archlgy	David Allen Ingleman	2021 Summer Quarter	2214	N	8		1			1							1	1	1				2		15
APLX 113I	Intercultural Comm GI	Netta Avineri	2021 Summer Quarter	2214	N	1	18											1	6							26
ART 20G	Intro Print/Draw	Bridget Mary Henry	2021 Summer Quarter	2214	N	1	5	4	1	3									1					1		16
ART 20I	Intro Photography	John Jesse Chapman	2021 Summer Quarter	2214	N	7	10	4										1								22
ART 20J	Intro Draw/Paint	Susana Terrell	2021 Summer Quarter	2214	N		4	1		3	1		1						2	2				1		15
ART 20L	Intro to Drawing	Grant Whipple	2021 Summer Quarter	2214	N	14	6	10	3	5	2			1				2	4	2				1		50
ART 80T	Digital Tools Art	Kristen Ling Gillette	2021 Summer Quarter	2214	N	11	38	10	2		3							2	5	1				2		74
ART 106O	2D Animation	Kristen Ling Gillette	2021 Summer Quarter	2214	N	15	42	7	3	3	6	3	6					3	4	3				4		99
ART 113	Illustrating Stories	Frank R Galuszka	2021 Summer Quarter	2214	N	3	12	1	3	1		1	1											1		23
ART 132	Figure Painting	Noah Buchanan	2021 Summer Quarter	2214	N	2	14			1		1								2						20
ART 135	Digital Painting	Kathleen Marie Deck	2021 Summer Quarter	2214	N	20	13	11	3	2	1							3	2					1		56
ART 154A	Being Social: Photo	John Jesse Chapman	2021 Summer Quarter	2214	N	5	4	2											1							12
ART 159	Spec Topics Photo	John Jesse Chapman	2021 Summer Quarter	2214	N	4	4	2										2								12
ARTG 80I	Foundations of Play	Tad Ander Leckman	2021 Summer Quarter	2214	N		58	5	1	4	3	1	1	1		2		5	2	2				2		87
ARTG 91	Intro Game Art Prod	Kristen Ling Gillette	2021 Summer Quarter	2214	N	6	24	3	2	3	1							2	7	1				1		50
ARTG 120	Game Design Exp	Dayna Diamond	2021 Summer Quarter	2214	N	6	20	13	5	3	1	1	1					1								51
ARTG 131	3D Game Art Prod	Marcelo Viana Neto	2021 Summer Quarter	2214	N	10	9	2	3	1	2		1					3		1				1		33
ARTG 132	3D Character Rig	Eduard Joseph Gregor	2021 Summer Quarter	2214	N	8	14	1	1	2				1												27
ARTG 137	Tabletop RPG Design	Elizabeth A Swensen	2021 Summer Quarter	2214	N		12			2	1															15
ARTG 141	Intro Virtual Reality	micha cardenas	2021 Summer Quarter	2214	N	1	4	2	1	3		1							1							13
ASTR 2	Overview Universe	Amanda Claire Quirk	2021 Summer Quarter	2214	N	29	34		2	4		1						2	6	2						80
BIOE 20B	Developmt & Physiol	Robin Christine Dunkin	2021 Summer Quarter	2214	N		44	13	5	1	3															66
BIOE 20C	Ecology & Evolution	Baldo Branimir Marinovic	2021 Summer Quarter	2214	N	4	6	6	10	18	7	4	5			1		1	1					1		64
BIOE 107	Ecology	Ellen Margaret Willis-Norton	2021 Summer Quarter	2214	N	4	7	7	4	3	7	1	5	4				1						1		44
BIOE 108	Marine Ecology	Joshua Gray Smith I	2021 Summer Quarter	2214	N		8	3	5	5	2		2			1		4								30
BIOE 109	Evolution	Daniel Buchanan Wright	2021 Summer Quarter	2214	N	8	21	9	10	10	7	8	4					2						3		82
BIOE 112	Ornithology	Theadora Alice Block	2021 Summer Quarter	2214	N		8	3	2		2															15
BIOE 112L	Ornithology Field	Theadora Alice Block	2021 Summer Quarter	2214	N	3	6	4		1		1														15
BIOE 118	Plants and Society	Shannon Colleen Lynch	2021 Summer Quarter	2214	N		2	3	4	3		1	1	1				1								16
BIOE 125	Ecosystems of Calif	Erika S Zavaleta	2021 Summer Quarter	2214	Y		1	3	3	2	1	2						3						2		17
BIOE 126	Biol Large Marine Vert	Roxanne Santina Beltran	2021 Summer Quarter	2214	N	5	1	1	1	2	3															13
BIOE 129	Biol Marine Mammals	Caroline Brett Casey	2021 Summer Quarter	2214	N		15	7	6	5	1	2	1					1						1		39
BIOE 129L	Marine Mammals Lab	Caroline Brett Casey	2021 Summer Quarter	2214	N	4	14	2	1	1	1		2	1			1	1						1		29
BIOE 131	Animal Physiology	Katherine Emily Dale	2021 Summer Quarter	2214	N	6	8	6	2	2		1	2					3						1		31
BIOE 131L	Animal Physiolo Lab	Katherine Emily Dale	2021 Summer Quarter	2214	N	6		2		1								3								12
BIOE 134	Comparative Anatomy	Rita Mehta	2021 Summer Quarter	2214	N		13	5		1	2		1													22
BIOE 134L	Comparative Anatomy Lab	Rita Mehta	2021 Summer Quarter	2214	N		17	2	1																	20
BIOE 142L	Behavior in the Wild	Doriane Elaine Weiler	2021 Summer Quarter	2214	N	5	6		4			1												1		17
BIOL 20A	Cell & Molecular Bi	John W Tamkun	2021 Summer Quarter	2214	N	1	11	3	2	8	4	12	6	6	1	1	1	4		1				7		68
BIOL 80J	Biology Emerging Disea	James A Shanks	2021 Summer Quarter	2214	N		2	2	1	2	1							3	1					1		13
BIOL 100	Biochemistry	Jeremy C Lee	2021 Summer Quarter	2214	N	1	5	4	4	10	8	6	8			5		4						3		58
BIOL 101	Molecular Biology	Melissa S Jurica	2021 Summer Quarter	2214	N	1	2	3	1	3	6	6	5	3		2		7						2		41
BIOL 105	Genetics	Rohinton T Kamakaka	2021 Summer Quarter	2214	N	3	2	3	5	5	4	12	12			2		3	2	1				2		56
BIOL 110	Cell Biology	Guido Bordignon	2021 Summer Quarter	2214	N	1	45		9	14		4	7					1								81
BIOL 130	Human Physiology	Giulia Jale Gurun Gurun	2021 Summer Quarter	2214	N		2	1	3	7	1	2	4					1	1	1				1		24
BME 80G	Bioethics 21st Cent	Sandra Lyn Dreisbach	2021 Summer Quarter	2214	Y		7	10	6	1		1		2				1								28
BME 185	Tech Writing Biomol	Joy Anna Hagen	2021 Summer Quarter	2214	N		11	3	2									1								17
BME 188C	SynthBio Research-C	David Lee Bernick	2021 Summer Quarter	2214	N	2	9	4										1								16
CHEM 1A	General Chemistry	John Manuel Diniz	2021 Summer Quarter	2214	N	19	13	3	2	8	2	3	8	2		4		10	1	1				2		78
CHEM 1B	General Chemistry	Jin Zhong Zhang	2021 Summer Quarter	2214	N	5	8	12	9	7	5	7	7	1		1		5	1					2		70
CHEM 1C	General Chemistry	Peter Scott Weiss	2021 Summer Quarter	2214	N	15	21	15	11	12	9	3	4			2		5						2		99
CHEM 1M	Gen Chem Lab	Randa Elaine Pfeifer Roland	2021 Summer Quarter	2214	N		57	2	1									1	1					3		65
CHEM 8A	Organic Chemistry	Chayo E. Fuentes Chang; Rachel Ann Snelling	2021 Summer Quarter	2214	N	36	66		10	26		4	4			1		2	2							151
CHEM 8B	Organic Chemistry	Patrick Wayne Skelly; Rachel Ann Snelling	2021 Summer Quarter	2214	N	1	9		2	4		5	1													22
CHEM 8B	Organic Chemistry	Rachel Ann Snelling	2021 Summer Quarter	2214	N	54	78		4	21		4	5						1					1		168
CHEM 8L	Organic Chem Lab	Caileen Marie Brison	2021 Summer Quarter	2214	N	61	70	7	2	3	1			1												145
CHEM 8M	Organic Chem Lab	Alester Cordell Wiggins-Allen	2021 Summer Quarter	2214	N	33	71	19	6	6								1						2		138
CHEM 163A	Quantum Mech & Spec	Yat Li	2021 Summer Quarter	2214	N			1	1		3	4	3					1								13
CHIN 1	Chinese: First Year	Jing Wu	2021 Summer Quarter	2214	N	5	1	2					1					2	1					1		13
CLNI 1A	Univ Life & Learning	Emily Murai; Flora E. Lu	2021 Summer Quarter	2214	N														455	12						467
CLTE 1A	Univ Life & Learning	Ariel Robello; Flora E. Lu	2021 Summer Quarter	2214	N														464	14						478
CMMU 10	Intr To Cmmu Actvsm	Lani Hanna	2021 Summer Quarter	2214	N	7	8											3								18
