Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 3	Precalculus	John Gabriel Prudente Pelias	2024 Winter Quarter	2240	N	17	15	10	4	8	3	3	5	2	2	1		4	2					1		77
AM 10	Math Methods I	Paul K Wintz	2024 Winter Quarter	2240	N	131	31	17	16	13	6		5			4		5	1	2				4		235
AM 11A	Math Methd for Econ	Jonathan Rice Katznelson	2024 Winter Quarter	2240	Y	7	4	6	5	4	5	6	13			10		3	1					1		65
AM 11B	Math Methds Econ II	Jonathan Rice Katznelson	2024 Winter Quarter	2240	Y	28	18	10	11	11	12	12	20			2		5	4	4				1		138
AM 20	Math Methods II	Long Kim Lu	2024 Winter Quarter	2240	N	63	32	20	20	19	12	7	4					1	1	1						180
AM 112	Intro to PDEs	Hongyun Wang	2024 Winter Quarter	2240	Y	8	1	3	1	4	4	1	5													27
AM 147	Comp Methods & App	Javier Gonzalez-Rocha	2024 Winter Quarter	2240	N	6	12	16	10	25	9	5	13	4	2	3		5	5	3						118
AM 160	Intro to SciML	Ashesh Chattopadhyay	2024 Winter Quarter	2240	N	5	7	4	3						1	1	1				5					27
AM 170A	Math Modeling 1	Pascale Garaud	2024 Winter Quarter	2240	N	5	17	5	9	5	2	2	1					1								47
AM 212A	Applied PDEs	Hongyun Wang	2024 Winter Quarter	2240	Y	11	1		1		2															15
AM 213A	Numerical Linear Alg	Dongwook Lee	2024 Winter Quarter	2240	N	10	4	2															1			17
ANTH 3	Intro Archaeology	Tsim D Schneider	2024 Winter Quarter	2240	N	31	95		32	42		8	10			5		4	12	2				1		242
ANTH 101	Human Evolution	Joseph Reti	2024 Winter Quarter	2240	N	4	13	6	4	11	6	2	10			4		6	1	4						71
ANTH 102A	Human Skeletal Biol	Emily A Schach	2024 Winter Quarter	2240	N	11	4	3	1	4	1	1	2						1							28
ANTH 106B	Chimpanzee Culture	Viktoria Oelze	2024 Winter Quarter	2240	N		7	3																		10
ANTH 108	Neanderthals	Joseph Reti	2024 Winter Quarter	2240	N		15	4	2	3	2	1						4	1	2						34
ANTH 110D	Anth Tourism	Azrikam (Azri) Amram	2024 Winter Quarter	2240	N	14	13	8	5	2	2		1			1		2		1						49
ANTH 110P	India Diaspora Film	Annapurna Devi Pandey	2024 Winter Quarter	2240	N	2	3	6	4	4	4	4	5	1				3	6	5				1		48
ANTH 130O	Native Feminisms	Renya K Ramirez	2024 Winter Quarter	2240	N	13	25	7	7	3			1					3								59
ANTH 130U	Central America	Mark D Anderson	2024 Winter Quarter	2240	N		27	5	5	7						1			1							46
ANTH 146	Anth & Environment	Andrew S. Mathews	2024 Winter Quarter	2240	Y	2	16	10	8	11	7	2	4			2		2	2	1						67
ANTH 152	CulturalAnthTheory	Mark D Anderson	2024 Winter Quarter	2240	N		19	6	2	3	2							2	1					1		36
ANTH 158	Feminist Ethnography	Alejandra Letelier Kramer	2024 Winter Quarter	2240	N	4	22	4	2	2	1							1	3	1						40
ANTH 175	African Archaeology	James C Monroe	2024 Winter Quarter	2240	Y	1	2	1	6	3	1		6		1			3	8	2				1		35
ANTH 187	Cultural Heritage	Jon D Daehnke	2024 Winter Quarter	2240	N	2	6	12	10	4	4	3	1					4	1	2						49
ANTH 194A	Dead Persons	Emily A Schach	2024 Winter Quarter	2240	N	3	9	6	5	1	1							1	1							27
ANTH 196U	Historical Anthro	Tsim D Schneider	2024 Winter Quarter	2240	N	2	4			3		1	2											1		13
APLX 80	Intro Applied Ling	Donald Patrick Miller	2024 Winter Quarter	2240	N	10	6	5		3	3			2			2	2		1						34
APLX 101	L2 Acquisition	Christian Ruvalcaba	2024 Winter Quarter	2240	N	2	3	1	1	2	1	1	1	1		1				1						15
APLX 103	L2 Speech	Mark Amengual	2024 Winter Quarter	2240	N	3	2			1	2		1			1		1	2	1				1		15
APLX 112	Language and Gender	Saori Hoshi	2024 Winter Quarter	2240	N	5	9	3	5	1	1							1								25
ARBC 2	Arabic: First Year	Abdelkader Berrahmoun	2024 Winter Quarter	2240	N	1	15	5										1								22
ART 10E	3D Foundation	Laurie Palmer	2024 Winter Quarter	2240	N	6	119			89	9	2	4					14	5					1		249
ART 20H	Intro Sculpt/Public	Sean M Monaghan	2024 Winter Quarter	2240	N		14	9	2																	25
ART 20J	Intro Draw/Paint	Melissa Gwyn	2024 Winter Quarter	2240	N		19	1		2	2							1								25
ART 20K	Intro New Media	Cláudio Bueno	2024 Winter Quarter	2240	N	1		7	3	1	7	2		1				1	1					1		25
ART 20L	Intro to Drawing	Grant Whipple	2024 Winter Quarter	2240	N	6	44	36	18	11	2		1			2		3	13	7				1		144
ART 80T	Digital Tools Art	Jennifer A Parker	2024 Winter Quarter	2240	N	43	125	63	23	25	22	8	15	8	4	8	1	38	18	24				10		435
ART 80T	Digital Tools Art	Jennifer A Parker	2024 Winter Quarter	2240	N		32	9	3	5	1	1	3			1	1	1	3					1		61
ART 106E	3D Model Animation	Wes Modes	2024 Winter Quarter	2240	N		16	7				1						3	1							28
ART 106G	Immersive Nonfiction	Elliot W Anderson	2024 Winter Quarter	2240	N	1	9		2										1					1		14
ART 119	Spec Topics Drawing	Travis McEwen	2024 Winter Quarter	2240	N		18	3		1								1								23
ART 119	Spec Topics Drawing	Raty Syka	2024 Winter Quarter	2240	N	8	6	1	1	1										1						18
ART 125	Enviro Art Studio	Edward A. Shanken	2024 Winter Quarter	2240	N	1	18	2																		21
ART 139	Spec Topcs Painting	Grant Whipple	2024 Winter Quarter	2240	N		10	7	2	2	2							1								24
ART 152A	Photographic Book	Kathleen Chris Perry	2024 Winter Quarter	2240	N	4	5	1													1					11
ART 156	Project Devlop Photo	Kathleen Chris Perry	2024 Winter Quarter	2240	N		12	3																		15
ART 163A	Lithography I	Sarah Sanford	2024 Winter Quarter	2240	N		14	3	3	4			1													25
ART 164A	Screenprinting	Sarah Sanford	2024 Winter Quarter	2240	N	1	7	5		3	1													1		18
ART 190A	Writing for Artists	Jorge Mascarenhas Menna Barreto	2024 Winter Quarter	2240	N	21	42	8	11	11			7			1			2							103
ART 194	Forms and Ideas	Kathleen Chris Perry	2024 Winter Quarter	2240	N	1	20	1	1		1															24
ARTG 20	Games as Art	dani wright	2024 Winter Quarter	2240	N	43	35	4	3	4			1					8	1	2				1		102
ARTG 40	Designing Experiences	Elizabeth A Swensen	2024 Winter Quarter	2240	N	32	7	2		1																42
ARTG 91	Intro Game Art Prod	Kristen Ling Gillette	2024 Winter Quarter	2240	N	38	64	16	4	5		2	4					10	7	6				4		160
